v0,v1,v2
577,462,377
169,862,577
129,767,578
198,197,578
111,12,579
12,808,579
715,981,302
326,455,672
186,403,581
581,403,78
280,623,582
582,411,267
545,102,583
583,102,248
782,918,584
234,847,584
459,742,944
585,467,164
704,813,862
94,289,586
506,9,587
587,9,786
741,38,335
658,588,515
589,134,284
130,865,589
590,54,212
311,417,702
843,687,394
591,283,612
344,58,592
58,119,592
663,593,516
375,988,593
594,882,134
594,134,589
595,390,448
595,174,322
187,980,596
81,33,596
597,375,593
597,759,258
580,981,501
676,857,188
555,3,599
3,499,599
853,965,729
48,163,600
56,989,239
20,659,601
602,570,361
61,889,602
603,434,463
608,1002,603
538,664,526
624,104,399
204,752,831
605,155,187
129,173,606
606,173,866
472,692,35
607,297,473
603,463,608
463,851,608
920,838,609
725,609,838
120,671,610
610,181,44
611,444,61
611,443,108
612,283,859
612,526,337
918,126,848
855,584,847
13,740,176
926,946,653
615,547,605
141,425,615
814,952,277
616,235,257
432,221,617
221,876,617
618,552,16
796,992,655
124,902,86
902,619,86
620,260,424
438,994,797
38,962,335
277,236,621
622,354,98
622,175,546
569,881,623
623,411,582
421,923,66
923,624,66
299,964,625
461,102,625
645,658,515
626,476,423
53,343,627
627,343,476
628,188,598
936,698,294
769,478,325
809,768,769
665,984,463
984,635,55
631,32,520
575,77,651
632,741,335
335,515,632
633,474,306
649,245,529
93,258,634
865,656,634
984,55,915
635,484,182
636,546,500
825,937,158
509,721,637
637,143,525
638,917,96
96,735,638
639,565,469
496,988,407
640,139,364
367,720,640
370,668,92
641,457,90
200,513,694
798,694,513
643,424,260
279,62,643
246,247,644
869,990,247
645,515,335
236,801,645
208,480,646
480,801,646
647,382,419
647,75,422
648,240,219
114,787,202
159,677,649
649,633,306
650,340,385
650,353,448
77,852,651
631,575,651
652,639,469
895,395,405
946,614,662
577,586,653
654,205,295
253,864,825
722,553,518
905,722,533
456,565,656
656,565,93
657,654,269
535,253,657
645,801,658
874,208,33
659,217,601
659,20,80
660,259,114
660,190,540
269,295,661
661,295,286
13,969,740
614,846,662
226,759,465
759,663,465
664,604,526
224,836,103
463,191,665
191,863,665
847,887,695
847,942,887
667,403,979
466,883,115
356,228,668
668,228,457
669,498,728
669,141,596
602,889,276
26,214,999
671,181,610
120,109,671
455,580,672
672,580,442
959,673,731
673,220,574
898,402,839
674,898,63
85,743,675
968,773,171
685,857,818
676,294,381
100,829,677
677,167,649
678,557,290
678,211,689
583,28,679
679,28,5
386,949,680
680,949,792
681,320,59
684,783,69
682,488,824
682,89,278
683,500,546
683,344,119
684,69,445
684,681,59
685,209,460
188,857,598
328,1001,686
686,67,524
262,903,907
95,394,687
688,842,574
263,207,688
146,817,854
689,321,384
690,550,81
39,893,690
691,406,293
691,364,268
692,607,35
692,972,297
774,185,250
693,774,97
414,798,513
642,200,694
887,934,695
802,250,185
696,74,186
136,351,696
697,682,421
697,178,237
815,294,188
698,936,263
699,911,460
699,556,501
330,939,849
700,135,53
701,276,670
701,151,416
702,417,558
702,590,112
703,371,490
703,532,382
704,862,297
718,704,477
705,502,147
705,329,166
941,231,416
706,416,299
464,807,707
707,454,506
158,136,708
708,136,696
721,753,143
709,319,13
288,41,710
710,41,310
711,201,254
131,778,52
298,971,432
150,910,243
713,629,273
943,587,786
714,266,401
714,154,91
715,302,146
981,537,628
177,761,194
369,806,716
717,387,839
177,967,156
718,170,26
3,813,718
751,918,848
719,199,954
720,691,747
367,364,720
721,143,637
721,446,319
816,905,533
722,905,553
723,824,140
723,144,190
194,902,724
724,271,142
891,838,8
434,609,725
726,101,560
727,931,114
727,114,259
498,425,728
728,425,141
600,853,729
729,232,48
730,843,394
274,901,730
715,854,731
172,959,731
732,554,310
732,41,192
808,222,579
808,489,108
734,104,938
734,6,201
268,312,735
735,312,638
736,464,707
736,563,713
137,985,464
113,12,737
280,315,738
738,315,216
775,888,428
105,888,249
740,946,662
740,662,176
632,588,741
588,38,741
742,459,85
949,386,128
506,773,845
743,85,755
437,401,744
401,69,744
745,588,914
235,760,257
960,746,71
746,293,429
691,293,977
747,293,746
241,91,748
91,483,748
229,216,749
749,216,315
750,292,418
497,900,25
751,292,750
719,848,126
572,893,204
752,970,155
721,319,753
319,709,753
249,888,775
754,166,329
755,85,459
49,769,755
756,514,762
756,62,227
763,413,417
757,311,561
758,389,240
758,832,119
759,226,83
597,663,759
277,962,235
962,760,235
177,435,761
761,435,369
762,514,424
762,643,62
763,244,413
757,389,763
755,769,764
764,325,338
765,261,777
765,777,246
323,224,766
184,879,927
767,666,578
767,129,606
273,629,768
768,629,769
769,629,478
769,49,176
770,225,788
770,449,136
771,365,16
771,30,856
432,971,712
971,772,712
773,675,743
894,506,454
774,693,185
774,540,140
775,754,249
428,358,775
626,242,776
745,914,242
261,851,777
777,164,247
778,178,66
399,711,778
779,495,414
57,248,779
455,21,880
880,543,189
781,962,621
781,621,645
613,950,584
950,613,138
684,59,783
783,59,440
370,986,784
279,924,784
785,199,355
138,363,785
9,65,786
65,909,786
114,183,787
183,955,787
788,225,666
788,523,449
896,789,309
227,790,789
227,52,790
790,52,153
791,490,371
301,385,791
85,675,792
675,680,792
793,528,26
113,985,489
46,5,794
5,912,794
795,535,657
286,864,795
16,916,618
992,823,655
975,233,840
797,620,514
404,948,414
798,92,642
982,799,784
799,180,279
215,271,800
271,282,800
801,447,646
802,695,250
162,877,693
359,830,398
803,44,402
804,485,368
804,826,701
140,488,805
488,99,805
806,369,181
806,109,296
947,464,737
935,807,947
808,733,222
12,113,808
